"The feed options have been saved. The existing live feed file remains available.","The feed options have been saved. The existing live feed file remains available."
"The feed options have been saved. Generate the feed to create the live file.","The feed options have been saved. Generate the feed to create the live file."
"The feed has been deleted.","The feed has been deleted."
"This feed no longer exists.","This feed no longer exists."
"Unable to find the feed to delete.","Unable to find the feed to delete."
"No feeds exist yet.","No feeds exist yet."
"No feed options were submitted.","No feed options were submitted."
"Default output format","Default output format"
"Default use CDATA","Default use CDATA"
"Default active products only","Default active products only"
"Default catalog visible products only","Default catalog visible products only"
"Default products available for purchase only","Default products available for purchase only"
"Default skip variants of inactive parents","Default skip variants of inactive parents"
"Output format","Output format"
"Format","Format"
"Use CDATA","Use CDATA"
"Wrap text fields in CDATA sections in XML output.","Wrap text fields in CDATA sections in XML output."
"CSV","CSV"
"JSON","JSON"
"File","File"
"Duplicate","Duplicate"
"Remove","Remove"
"Remove selected feeds?","Remove selected feeds?"
"Remove feeds","Remove feeds"
"A total of %1 feed(s) have been removed.","A total of %1 feed(s) have been removed."
"A total of %1 feed(s) have been duplicated.","A total of %1 feed(s) have been duplicated."
"Copy of %1","Copy of %1"
"Preview limited to the first %1 products. The feed exports all products.","Preview limited to the first %1 products. The feed exports all products."
"This feed has not been generated yet.","This feed has not been generated yet."
"Unable to find the feed to generate.","Unable to find the feed to generate."
"The feed has been generated. %1 product(s) exported.","The feed has been generated. %1 product(s) exported."
"A total of %1 feed(s) have been generated.","A total of %1 feed(s) have been generated."
"Generate Feed","Generate Feed"
"Generate","Generate"
"Schedule","Schedule"
"Generation Mode","Generation Mode"
"Manual generation","Manual generation"
"Automatic generation","Automatic generation"
"Manual refresh","Manual refresh"
"Scheduled refresh","Scheduled refresh"
"Automatic generation writes the feed file through Magento cron.","Automatic generation writes the feed file through Magento cron."
"Choose manual generation or scheduled generation through Magento cron.","Choose manual generation or scheduled generation through Magento cron."
"Cron Expression","Cron Expression"
"Five-field Magento cron expression, for example */30 * * * * or 0 2 * * *.","Five-field Magento cron expression, for example */30 * * * * or 0 2 * * *."
"Last Generated","Last Generated"
"Last Generation Error","Last Generation Error"
"Please enter a cron expression for automatic generation.","Please enter a cron expression for automatic generation."
"Please enter a valid cron expression.","Please enter a valid cron expression."
"Please select a valid feed schedule.","Please select a valid feed schedule."
"Feed Generation","Feed Generation"
"Choose whether Magento should refresh this feed automatically.","Choose whether Magento should refresh this feed automatically."
"Refresh Day","Refresh Day"
"Refresh Days","Refresh Days"
"Refresh Time","Refresh Time"
"The generated feed file is replaced at this time when Magento cron runs.","The generated feed file is replaced at this time when Magento cron runs."
"Select one or more times. The generated feed file is replaced when Magento cron runs.","Select one or more times. The generated feed file is replaced when Magento cron runs."
"Every day","Every day"
"Executed","Executed"
"Failed","Failed"
"Success","Success"
"No execution yet","No execution yet"
"Products: %1","Products: %1"
"Products: -","Products: -"
"Live feed file","Live feed file"
"Not generated. Generate the feed to create the live file.","Not generated. Generate the feed to create the live file."
"Copy link","Copy link"
"Copied","Copied"
"Monday","Monday"
"Tuesday","Tuesday"
"Wednesday","Wednesday"
"Thursday","Thursday"
"Friday","Friday"
"Saturday","Saturday"
"Sunday","Sunday"
"BerryPath","BerryPath"
"Product feeds for Magento and shopping channels. Interested in Guided Selling?","Product feeds for Magento and shopping channels. Interested in Guided Selling?"
"Visit our website.","Visit our website."
